0x0000	
0x0001	pl#
0x0002	-
0x0003	radius`
0x0004	note:
0x0005	scripts/aitypes/bt_util.gsc
0x0006	scripts/asm/asm.gsc
0x0007	scripts/code/ai.gsc
0x0008	scripts/code/delete.gsc
0x0009	scripts/code/struct.gsc
0x000a	scripts/common/interactive.gsc
0x000b	scripts/common/scriptable.gsc
0x000c	scripts/common/ui.gsc
0x000d	scripts/cp/dedicated.gsc
0x000e	scripts/mp/callbacksetup.gsc
0x000f	scripts/mp/dedicated.gsc
0x0010	scripts/mp/weapons.gsc
0x0011	scripts/mp/agents/agent_common.gsc
0x0012	scripts/mp/agents/agents.gsc
0x0013	scripts/mp/agents/scriptedagents.gsc
0x0014	scripts/mp/bots/bots.gsc
0x0015	scripts/mp/agents/alien/agents.gsc
0x0016	_
0x0017	_custom
0x0018	_process_native_script
0x0019	accumulate
0x001a	accuracy
0x001b	actionslot1
0x001c	actionslot2
0x001d	actionslot3
0x001e	actionslot4
0x001f	actionslot5
0x0020	actionslot6
0x0021	actionslot7
0x0022	activator
0x0023	active
0x0024	activevisionset
0x0025	activevisionsetduration
0x0026	adrenaline
0x0027	agent
0x0028	agenthealth
0x0029	agentname
0x002a	agentteam
0x002b	aggressivemode
0x002c	aiSpread
0x002d	ai_event
0x002e	aifusetime
0x002f	aim_highest_bone
0x0030	aim_vis_bone
0x0031	aimyawspeed
0x0032	alert
0x0033	alertlevel
0x0034	alertlevelint
0x0035	alien
0x0036	alignx
0x0037	aligny
0x0038	all
0x0039	allies
0x003a	allowcrouch
0x003b	allowdeath
0x003c	allowjump
0x003d	allowladders
0x003e	allowpain
0x003f	allowpain_internal
0x0040	allowprone
0x0041	allowspeedupwhencombathot
0x0042	allowstrafe
0x0043	alpha
0x0044	alternateinventory
0x0045	alternateweapons
0x0046	altmode
0x0047	always
0x0048	ambient
0x0049	ambush
0x004a	ambush_nodes_only
0x004b	amount
0x004c	angle_deltas
0x004d	angledelta
0x004e	angleindex
0x004f	anglelerprate
0x0050	angles
0x0051	angles_offset
0x0052	anim_angle_delta
0x0053	anim_deltas
0x0054	anim_pose
0x0055	anim_will_finish
0x0056	anims
0x0057	animscript
0x0058	animscriptedactive
0x0059	archived
0x005a	archivetime
0x005b	archiveusepotg
0x005c	arrivalfailed
0x005d	arriving
0x005e	asleep
0x005f	asm_ephemeral_events
0x0060	asm_events
0x0061	asm_getfunction
0x0062	asm_getgenerichandler
0x0063	asm_getparams
0x0064	aspectratio
0x0065	assists
0x0066	attachments
0x0067	attachmentvarindices
0x0068	attachtag
0x0069	attacker
0x006a	attackeraccuracy
0x006b	attackercount
0x006c	auto_ai
0x006d	auto_change
0x006e	auto_nonai
0x006f	axis
0x0070	back
0x0071	back_left
0x0072	back_low
0x0073	back_mid
0x0074	back_right
0x0075	back_up
