0x0000	pl#
0x0001	-
0x0002	radius`
0x0003	note:
0x0004	scripts/aitypes/bt_util.gsc
0x0005	scripts/asm/asm.gsc
0x0006	scripts/code/ai.gsc
0x0007	scripts/code/delete.gsc
0x0008	scripts/code/struct.gsc
0x0009	scripts/common/interactive.gsc
0x000a	scripts/common/scriptable.gsc
0x000b	scripts/common/ui.gsc
0x000c	scripts/cp/dedicated.gsc
0x000d	scripts/mp/callbacksetup.gsc
0x000e	scripts/mp/dedicated.gsc
0x000f	scripts/mp/weapons.gsc
0x0010	scripts/mp/agents/agent_common.gsc
0x0011	scripts/mp/agents/agents.gsc
0x0012	scripts/mp/agents/scriptedagents.gsc
0x0013	scripts/mp/bots/bots.gsc
0x0014	scripts/mp/agents/alien/agents.gsc
0x0015	_
0x0016	_custom
0x0017	_process_native_script
0x0018	accumulate
0x0019	accuracy
0x001a	actionslot1
0x001b	actionslot2
0x001c	actionslot3
0x001d	actionslot4
0x001e	actionslot5
0x001f	actionslot6
0x0020	actionslot7
0x0021	activator
0x0022	active
0x0023	activevisionset
0x0024	activevisionsetduration
0x0025	adrenaline
0x0026	agent
0x0027	agenthealth
0x0028	agentname
0x0029	agentteam
0x002a	aggressivemode
0x002b	aiSpread
0x002c	ai_event
0x002d	aifusetime
0x002e	aim_highest_bone
0x002f	aim_vis_bone
0x0030	aimyawspeed
0x0031	alert
0x0032	alertlevel
0x0033	alertlevelint
0x0034	alien
0x0035	alignx
0x0036	aligny
0x0037	all
0x0038	allies
0x0039	allowcrouch
0x003a	allowdeath
0x003b	allowjump
0x003c	allowladders
0x003d	allowpain
0x003e	allowpain_internal
0x003f	allowprone
0x0040	allowspeedupwhencombathot
0x0041	allowstrafe
0x0042	alpha
0x0043	alternateinventory
0x0044	alternateweapons
0x0045	altmode
0x0046	always
0x0047	ambient
0x0048	ambush
0x0049	ambush_nodes_only
0x004a	amount
0x004b	angle_deltas
0x004c	angledelta
0x004d	angleindex
0x004e	anglelerprate
0x004f	angles
0x0050	angles_offset
0x0051	anim_angle_delta
0x0052	anim_deltas
0x0053	anim_pose
0x0054	anim_will_finish
0x0055	anims
0x0056	animscript
0x0057	animscriptedactive
0x0058	archived
0x0059	archivetime
0x005a	archiveusepotg
0x005b	arrivalfailed
0x005c	arriving
0x005d	asleep
0x005e	asm_ephemeral_events
0x005f	asm_events
0x0060	asm_getfunction
0x0061	asm_getgenerichandler
0x0062	asm_getparams
0x0063	aspectratio
0x0064	assists
0x0065	attachments
0x0066	attachmentvarindices
0x0067	attachtag
0x0068	attacker
0x0069	attackeraccuracy
0x006a	attackercount
0x006b	auto_ai
0x006c	auto_change
0x006d	auto_nonai
0x006e	axis
0x006f	back
0x0070	back_left
0x0071	back_low
0x0072	back_mid
0x0073	back_right
0x0074	back_up
0x0075	backpiece
0x0076	backpiecevarindex
0x0077	bad_guys
0x0078	bad_path
0x0079	badpath
0x007a	badplaceawareness
0x007b	baimedataimtarget
0x007c	basearchetype
0x007d	basename
0x007e	begin
0x007f	begin_custom_anim
0x0080	begin_firing
0x0081	begin_firing_left
0x0082	bfire
0x0083	bgrenadeavoid
0x0084	bgrenadereturnthrow
0x0085	birthtime
0x0086	bisincombat
0x0087	blade_hide
0x0088	blade_show
0x0089	blindfire
0x008a	blockfriendlies
0x008b	blurradius
0x008c	body_animate_jnt
0x008d	bodyindex
0x008e	bottomarc
0x008f	boundingoverwatchenabled
0x0090	boxsizex
0x0091	boxsizey
0x0092	breload
0x0093	bt_createinstance
0x0094	bt_createtasktree
0x0095	bt_eventlistener
0x0096	bt_finalizebehavior
0x0097	bt_finalizeregistrar
0x0098	bt_getchildtaskid
0x0099	bt_getdemeanor
0x009a	bt_getfunction
0x009b	bt_gettaskfuncargs
0x009c	bt_init
0x009d	bt_initactions
0x009e	bt_initnodetypes
0x009f	bt_initroot
0x00a0	bt_istreeregistered
0x00a1	bt_nativecopyaction
0x00a2	bt_nativecopybehavior
0x00a3	bt_nativeexecaction
0x00a4	bt_nativefinalizeregistrar
0x00a5	bt_nativeistreeregistered
0x00a6	bt_nativeregisteraction
0x00a7	bt_nativeregisterbehavior
0x00a8	bt_nativeregisterbehaviortotree
0x00a9	bt_nativeregistertree
0x00aa	bt_nativesetregistrar
0x00ab	bt_nativetick
