0x0000	
0x0001	addaieventlistener
0x0002	addontoviewmodel
0x0003	addpitch
0x0004	addroll
0x0005	addyaw
0x0006	adsbuttonpressed
0x0007	agentcanseesentient
0x0008	setaimstate
0x0009	aiphysicstrace
0x000a	aiphysicstracepassed
0x000b	allowads
0x000c	allowcrouch
0x000d	allowedstances
0x000e	allowfire
0x000f	allowjump
0x0010	allowlean
0x0011	allowmelee
0x0012	allowprone
0x0013	allowspectateteam
0x0014	allowsprint
0x0015	allowstand
0x0016	allowswim
0x0017	allowjog
0x0018	animcustom
0x0019	animmode
0x001a	animrelative
0x001b	animscripted
0x001c	animscriptedthirdperson
0x001d	anyammoforweaponmodes
0x001e	atdangerousnode
0x001f	attach
0x0020	attachpath
0x0021	attachshieldmodel
0x0022	attackbuttonpressed
0x0023	autoboltmissileeffects
0x0024	autospotoverlayoff
0x0025	autospotoverlayon
0x0026	beginlocationselection
0x0027	blendlinktoplayerviewmotion
0x0028	botcanseeentity
0x0029	botclearbutton
0x002a	botclearscriptenemy
0x002b	botclearscriptgoal
0x002c	botfindrandomgoal
0x002d	botfirstavailablegrenade
0x002e	botflagmemoryevents
0x002f	botgetdifficulty
0x0030	botgetdifficultysetting
0x0031	botgetentrancepoint
0x0032	botgetfovdot
0x0033	botgetfovdotz
0x0034	botgetimperfectenemyinfo
0x0035	botgetmemoryevents
0x0036	botgetnearestnode
0x0037	botgetnodesonpath
0x0038	botgetnegotiationstartnode
0x0039	botgetpathdist
0x003a	botgetpersonality
0x003b	botgetscriptgoal
0x003c	botgetscriptgoalnode
0x003d	botgetscriptgoalradius
0x003e	botgetscriptgoaltype
0x003f	botgetscriptgoalyaw
0x0040	botgetworldclosestedge
0x0041	botgetworldsize
0x0042	bothasscriptgoal
0x0043	botisrandomized
0x0044	botisdoingaisearch
0x0045	botlookatpoint
0x0046	botmemoryevent
0x0047	botmemoryselectpos
0x0048	botnodeavailable
0x0049	botnodepick
0x004a	botnodepickmultiple
0x004b	botnodescoremultiple
0x004c	botpredictenemycampspots
0x004d	botpredictseepoint
0x004e	botpressbutton
0x004f	botpursuingscriptgoal
0x0050	botsetattacker
0x0051	botsetawareness
